Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) N5_1,Coverage (%) N5_2,Coverage (%) N5_3,Coverage (%) N6_1,Coverage (%) N6_2,Coverage (%) N6_3,Coverage (%) T2_1,Coverage (%) T2_2,Coverage (%) T2_3,Coverage (%) T4_1,Coverage (%) T4_2,Coverage (%) T4_3,Area N5_1,Area N5_2,Area N5_3,Area N6_1,Area N6_2,Area N6_3,Area T2_1,Area T2_2,Area T2_3,Area T4_1,Area T4_2,Area T4_3,#Peptides,#Unique,#Spec N5_1,#Spec N5_2,#Spec N5_3,#Spec N6_1,#Spec N6_2,#Spec N6_3,#Spec T2_1,#Spec T2_2,#Spec T2_3,#Spec T4_1,#Spec T4_2,#Spec T4_3,PTM,Avg. Mass,Description
1,31,Q09666|AHNK_HUMAN,703.94,68,61,62,60,63,60,64,61,63,61,62,52,62,1.4765E6,1.4669E6,1.465E6,1.6104E6,1.5493E6,1.569E6,1.6217E6,1.8656E6,1.6381E6,1.9673E6,7.4408E5,2.0585E6,417,417,787,823,784,804,808,846,817,826,863,853,587,890,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),629114,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2
9,44,Q15149|PLEC_HUMAN,596.09,56,22,23,23,30,32,30,31,31,33,49,34,50,8.8484E4,9.5625E4,1.206E5,1.1673E5,1.1192E5,1.1229E5,1.3673E5,1.3552E5,1.3998E5,3.1633E5,1.5133E5,3.3272E5,242,234,122,119,124,166,173,161,172,169,182,289,212,318,Carbamidomethylation; Deamidation (NQ),531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
2,1,P08670|VIME_HUMAN,564.44,97,87,88,88,88,88,88,88,88,88,95,88,95,3.8094E6,3.7801E6,3.7696E6,4.7559E6,4.6867E6,4.5257E6,6.2749E6,6.5574E6,6.496E6,9.4186E6,5.1954E6,9.7972E6,83,78,496,498,480,562,579,566,681,672,689,797,625,757,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),53652,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
6,5,P02545|LMNA_HUMAN,555.18,88,78,79,76,80,80,83,76,76,77,81,76,85,1.2714E6,1.3144E6,1.3504E6,1.3551E6,1.402E6,1.4072E6,7.1849E5,7.2635E5,7.406E5,1.0997E6,6.3349E5,1.1175E6,90,88,273,287,281,316,320,312,207,213,223,274,206,289,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),74140,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
15,37,O75369|FLNB_HUMAN,531.67,62,31,34,33,39,40,39,43,41,42,52,32,52,7.4416E4,9.0435E4,9.2823E4,1.2014E5,1.269E5,1.2723E5,1.3248E5,1.3361E5,1.1697E5,1.8502E5,7.7799E4,2.0236E5,115,108,82,97,89,103,125,119,127,117,116,161,97,163,Carbamidomethylation; Deamidation (NQ),278162,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2
12,40,Q13813|SPTN1_HUMAN,529.58,59,39,41,41,43,42,43,42,42,43,36,13,35,1.5997E5,1.5942E5,1.6957E5,1.3704E5,1.3333E5,1.3912E5,1.4468E5,1.4279E5,1.3898E5,7.7552E4,2.292E4,8.1217E4,129,129,144,138,146,149,141,153,133,146,155,98,32,90,Carbamidomethylation; Deamidation (NQ),284538,Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3
10,16,P04264|K2C1_HUMAN,519.63,69,47,46,51,57,60,58,66,61,61,66,61,66,9.7918E4,9.6156E4,1.0547E5,2.8334E5,2.8447E5,2.8182E5,1.2699E6,1.23E6,1.2674E6,7.1716E5,3.4885E5,6.9877E5,56,51,59,58,68,131,142,120,231,237,241,191,147,178,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
20,42,Q01082|SPTB2_HUMAN,517.86,54,31,33,33,35,38,36,37,39,39,45,30,48,8.6938E4,9.1118E4,8.435E4,1.0285E5,1.0007E5,9.6472E4,1.2101E5,1.1659E5,1.2052E5,1.5462E5,6.3984E4,1.7768E5,109,107,82,87,94,102,101,108,116,114,112,129,84,140,Carbamidomethylation; Deamidation (NQ),274608,Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2
11,214,P06748|NPM_HUMAN,515.46,72,66,69,66,66,69,69,64,64,67,70,66,70,4.8716E5,5.0408E5,4.9725E5,5.5342E5,5.4434E5,5.4621E5,3.9743E5,3.6544E5,3.7043E5,6.7563E5,2.5539E5,6.6477E5,33,33,142,146,147,158,165,167,131,131,137,169,110,173,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),32575,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2
52,58,P35579|MYH9_HUMAN,506.80,52,13,15,13,32,33,32,29,32,30,48,29,48,1.0007E4,1.0592E4,1.073E4,4.3543E4,4.0562E4,4.2546E4,3.8661E4,3.8794E4,4.1054E4,1.1564E5,3.2813E4,1.2893E5,95,85,21,35,26,70,75,70,61,65,72,138,72,138,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
23,10,P35527|K1C9_HUMAN,490.29,80,54,52,48,57,52,57,79,77,68,64,62,64,4.8579E4,5.3336E4,5.0551E4,1.2255E5,1.2284E5,1.2873E5,8.0655E5,8.28E5,8.2889E5,3.8216E5,1.9311E5,3.5947E5,42,41,32,37,29,65,62,72,208,217,219,116,69,117,Carbamidomethylation; Oxidation (M); Deamidation (NQ),62064,Keratin  type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3
8,64,P19338|NUCL_HUMAN,482.50,53,53,52,47,47,47,47,46,51,46,46,46,46,6.3925E5,6.4592E5,6.4089E5,6.6003E5,6.5268E5,6.7891E5,4.2489E5,4.5841E5,4.6296E5,7.2728E5,3.5523E5,7.3953E5,63,63,200,187,195,227,220,238,164,181,177,216,161,217,Carbamidomethylation; Oxidation (M); Deamidation (NQ),76615,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3
17,14,Q07065|CKAP4_HUMAN,480.85,75,63,64,64,68,69,69,70,71,70,74,70,71,2.0715E5,2.0781E5,1.9967E5,1.793E5,1.8151E5,1.8023E5,2.6561E5,2.6436E5,2.6053E5,3.2197E5,1.6842E5,3.36E5,52,52,96,90,94,99,103,101,118,121,138,127,98,139,Carbamidomethylation; Deamidation (NQ),66023,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2
5,3,P63261|ACTG_HUMAN,479.46,97,84,79,85,85,83,86,84,78,77,85,90,86,8.9388E4,9.5378E4,8.1055E4,7.9215E4,7.6078E4,7.0358E4,9.7501E4,9.5619E4,9.7262E4,1.309E5,1.3839E4,1.3663E5,40,2,310,286,311,301,311,316,298,333,329,324,231,364,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
47,93,Q00610|CLH1_HUMAN,472.43,45,24,22,23,31,29,27,32,30,31,40,27,40,4.4841E4,4.5285E4,3.744E4,6.7475E4,6.4018E4,6.2361E4,6.4701E4,6.949E4,6.2149E4,1.6618E5,6.7503E4,1.8344E5,71,71,55,57,44,72,69,75,69,77,70,121,67,118,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
7,8,P07355|ANXA2_HUMAN,471.58,83,72,72,72,81,76,80,73,73,76,78,73,79,1.0333E6,1.0366E6,9.9953E5,1.5265E6,1.4749E6,1.5091E6,1.2548E6,1.2284E6,1.2214E6,1.3569E6,6.5815E5,1.3684E6,45,45,186,167,176,244,229,242,213,208,204,207,158,202,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
28,50,P13645|K1C10_HUMAN,471.47,61,46,44,44,54,55,54,61,61,61,58,43,61,7.0509E4,7.751E4,1.5013E5,2.1015E5,2.9727E5,1.4862E5,4.2724E5,4.1808E5,4.2842E5,1.4979E5,7.531E4,3.0676E5,37,27,52,64,49,94,88,87,136,130,127,89,73,87,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
70,91,P21333|FLNA_HUMAN,470.65,39,14,15,17,25,23,26,22,23,23,32,17,36,2.1806E4,2.6244E4,2.5368E4,4.6514E4,4.4393E4,4.9474E4,4.4486E4,4.2015E4,4.021E4,6.4721E4,3.0736E4,7.8924E4,71,65,33,41,40,59,56,68,54,61,53,87,48,100,Carbamidomethylation; Deamidation (NQ),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
18,12,P26038|MOES_HUMAN,470.64,78,67,71,70,77,75,74,75,73,73,76,72,77,8.5711E4,9.5502E4,9.3807E4,1.2735E5,1.2133E5,1.3125E5,1.107E5,1.1716E5,1.2509E5,1.8579E5,9.4021E4,1.9232E5,62,48,84,96,96,117,114,108,100,107,109,129,95,158,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67820,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3
39,15,P12814|ACTN1_HUMAN,467.61,70,54,61,57,59,60,63,56,60,60,57,37,59,7.4392E4,7.696E4,7.2944E4,6.5779E4,6.467E4,6.8407E4,6.2928E4,6.2388E4,6.175E4,5.5977E4,1.8282E4,6.1508E4,58,37,80,92,99,85,87,89,79,86,89,89,49,93,Carbamidomethylation; Deamidation (NQ),103058,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2
21,28,O43707|ACTN4_HUMAN,464.39,67,54,53,58,60,60,55,62,60,62,60,49,58,1.1007E5,1.0633E5,1.1471E5,8.161E4,8.1039E4,7.5126E4,9.6434E4,9.7999E4,1.4112E5,6.787E4,2.4491E4,7.4466E4,62,40,112,123,121,104,119,105,106,109,112,101,56,100,Carbamidomethylation; Oxidation (M); Deamidation (NQ),104854,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2
